,WkD,Comment,Cost,Ppl,地点,天气,体重,Keyword,Food,移动
1/11/2019,5,"走姿暂停.基本达到预定目标.昨天晚上吃的土豆泥和沙拉.晚上这么吃健康.课上还有人说喜欢北京.蠢人真多.对蠢人,要绷,欺而有功.昨天穿夹克出门,到处人都让路,走路变得容易.要让生活变得容易,显得深不可测,不可侵犯,否则就会向沃尔玛/HK那样,撞你,占你便宜. 中国人喜欢跟风,创新意识较差,快手上都是一样的评论.整个亚洲都这样.总结1.到那哪穿得远好过一般人 2.不苟言笑,比他人反应少,面无表情,""绷""3.保持沉默,让对方紧张,己方保持冷静 4.现在也不飞飞机了.投资长期有用,不是fad的东西.5.语言学习自己占优势,认识很多人.学对自己生活/utility有帮助的事情.&&0.89走了150w.现阶段0.86.中午吃了牛肉,蔬菜,生洋葱(88),加点蒜就更好了.米饭只吃了一点.牛肉质量比昨天差远了.走姿暂时停止,这一段太频繁.汇丰的账户一定要频繁使用,这样才能增加credibility.碳水减少了以后mood swing减少.完全cut了white bread.&&从kelly那拿到citi信用卡.给了她100红包, keep住她的incentive.",88,,,,,,,
1/12/2019,6,"最近运动得少,睡眠一般,1点醒了一会.周二去游泳当时还没好,今天鼻涕才少了点.还是持续多喝水.下午去广州拿眼镜.今天是重污染.这几天学到的: 1.多洗手 2.减少主食, 只吃健康的主食 3.不吃面包/pastry.4.多喝水 5.洗床单,被套,枕套(2008年经验) 今天重度污染,走姿是明智的. 外面还有很多人抽烟,活动, 不在意自己健康的人这么多, 怎么指望餐厅/zf对这些人负责. 中午吃的鸡.",0,,,雾霾,,,,
1/13/2019,7,"1/14补记.上午沃尔玛.中午bake三文鱼,12分钟,和生洋葱,蒜一起吃,很好.下次试着买羊腿烤串.下午上课.AP空气流通差,感冒细菌多.晚上因为头痛吃了拉面,给大脑迅速补充能量,第二天早晨拉肚,说明不干净,远远没有面点王干净,这个地方不能去.之后喝了奶, 状态还可.A家有人生病,回中山. Y offer糖吃,这些都是good sign.找个借口换个座位.其他丑人多作怪的,绷,不理睬就可以.不需要回应和互动.对于这些人,有架子,不苟言笑,欺而有功.下意识觉得好的可以接触.问问题要不耻下问,不要不懂装懂.做学问就是要虚心,严禁,中国人不敢问问题,而且喜欢不懂装懂,就是东郭先生,滥竽充数,还死好面子.这些都看在眼里,离远点,跟产生utility的人多接触.",150,,,,67.5,,,
1/14/2019,1,"看T2的class compo,构成好,可以上,构成不好,转成VIP班,尽快消费完课时.现在问为时尚早.但是转成VIP对他们来说是additional work,不一定同意.所以大概率要一直上完.过年前要完成screener,对最大的成分股进行建仓和spread.2019还是多旅游.就不存在在家呆着的问题.现在要开始计划过段时间.如何max out你现有的圈子,结识新的圈子, revive旧的圈子, 这都是需要做的.Avoid carb crash in the day - breakfast and lunch, don't eat carbs,let body run on fat,dinner-eat some carbs, contributes to better sleep.Body burns fat thruout the day. 中午在广州体育西吃的牛腩煲, 把眼镜取回来.跟wayne聊了聊,回来开车眼睛累. &&没吃主食, 所以下午开车不困, 就是车里热(人多喘气不通风).定期消毒车.花城汇底下底下停车便宜, 可以停那.打车到别的地方.污染厉害,痰多.",300,wayne,gz,雾霾,68,没有carb crash,,
1/15/2019,2,"刚才看了人人网.跟很多人聊过,没啥用.好好发展技能才是王道.时过境迁,现在没人再用校内了,事情总是昙花一现,从以前的msn到校内到wechat,实力+谋身才是王道.一直在反省这六年来都做了什么.跟2013年1月份比.自己会了编程Java, R,每天都在用自己的编的tool.会了git,保存程序.测试了各种各样的交易策略,最后决定是小仓位,多持股,多spread,mDev yDev.昨天聊到董建华,不懂断箭法,刚有解决房地产问题的念头,房价大跌,自己被迫辞职.(岳飞,于谦,都是拔箭遭致杀身之祸).补锅法就是把事情夸张化,让人意识到问题很严重,再往有利的方向引导.保险的销售手法.医生也常用断箭法,治标不治本,这样病人才能源源不断,而且还感谢医生.2018年研究了心理学,易,厚黑学.&&去广州配眼镜告一段落.&&wayne对于杠杆一无所知,怀有憧憬,不了解杠杆的危险性,一直提深圳湾一号,总是往这个上面拽话题. &&香港的仓库要清空/换一个更小的,把东西扔掉,找个晚上,扔外面,其他的带回大陆,找一个搬家公司给运回来,已经花了4万在仓库上,里面家具的价值只有5000.&&缺点:1.喝酒 2.学校烂 3.拜金 4.缺乏一致性稳定性 5.高消费 6.虚荣,晒礼物 7.隐瞒民系(冒充) 8.隐瞒学校.9.不靠谱 &&想想哪个时候自己最单纯,骗子最少.加拿大时期,当时对车,房都没追求,相对简单,&&临走前,取消海南手机,香港手机(每月300).清空迷你仓(每年1w).&&继续强化交易的核心优势,精益求精.&&迷你仓:有价值的拿回深圳.家具类的全部扔掉. &&slow down, be as slow as possible, 能让的人都让.&&晚上有心情波动,晚上吃的土豆泥,现在在喝奶,原因跟手机addiction有关.Cut tomorrow cell usage by 90%.&&黄木岗立交1月29到2月19拆.准备开车去海口.定23号,周三不当不正人少. 晚上不走,因为大货车普遍超速,晚上检查的少.晚上酒驾,疲劳的多,circadian rythm使然.周末天亮开.周二周三比较安全,车少,白天开,没人.7点开到中午, 到湛江休息. 第二天早晨在开. 避免午饭后开, 有困倦的人.晚上更不能开. 在惠州被撞的时候是周末,别忘了,这些人周末才有时间,避开他们.选在工作日2,3这个时候比较靠谱,大部分人要做事.去年7月8和11月25两次被撞都是周日,新手上路+夜车酒驾,很危险.以后:工作日早晨驾驶,过了中午不驾驶.晚上绝对不开.6点左右走,天亮之前出城,天亮以后上高速.&&AP后面yuki又咳嗽,病菌太多.所以不天天expose那个环境是正确的.",30,self,sz,阴,68,,,
1/16/2019,3,"昨晚睡眠较好.睡前要喝奶,一直睡到早6.决定下周3走,上午开半天,相对安全,先到湛江住一晚.When to load delta: ytd movement was counter yDev. Trading yDev would catch most of the big moves and avoid big losses.This is the effective method to outperform market in long run. &&walmart(100),中午鸡汤.Larry最近消失,从12月27周四那次大跌被摧毁意志,再没出现过.饮食:一直保持日内low carb,用红薯代替米饭.到了海南先恢复海香会员.再滑冰.看到AP王的朋友圈,说消费使人快乐,SZ这边拜金+丝毫无羞耻心/觉得深圳湾一号好.&&我反正在四季,你爱来不来.不去浪费时间迎合别人的schedule(有尤其对于习惯性放鸽子的人有用).己方定时间和地点.对方只有迎合的份.这样不至于导致16年的种种不愉快.&&晚上ari放鸽子(一直不可靠),所以跟wayne在四季见面,皇庭吃巴蜀川菜,深圳湾散步.回家路上看到超速,行人闯红灯差点被撞.9点多,十分危险.醉酒的多.(晚上开车事故概率)",100,wayne,sz,,68,,,
1/17/2019,4,"体重保持在67.回到13年夏天的状态.昨晚吃了川菜,感觉消化系统不干净.油差.去香港买油.带到海口.冰箱里的坚果(杏仁,松子仁,榛子,花生米),干货都拿过去.周六让人代购橄榄油和蜂蜜和胡椒,带到海南.&&以前早晨吃很多面包,必须出去运动增加dopamine,不然就会sugar crash,心情跟吃的东西有关,吃的越甜越完蛋.多喝水,昨天游泳前喝水润肺.早晨不喝奶,糖多.carb只晚上吃,让血糖变换在睡眠中完成,白天碳水吃水果和蔬菜.&&中午炒牛肉,橄榄油,盐,胡椒,一直把汁水炒没了,跟洋葱和蒜一起吃就可以(今天忘了).整个医疗行业用的都是断箭补锅.治标不治本,让人一直生病,养活了化疗行业,病人花了钱还感谢医生,这些只能知道不能说.大部分人都是追求短期满足,这催生了所有食物都放糖,这样才能卖的多,zf不管.医疗/食品行业都靠这个活着.现在完全不吃面包对面包行业毫无益处.身体好了,没人获利,只有生病的时候,才有人赚钱,阴谋所在.",0,self,,,67.1,,,
1/18/2019,5,"不靠谱的人,权术制之.今天起来感觉干净,没有昨早川菜造成的油腻感.1.不改变自己的时间规划,别人只可以fit in schedule, narrow window.拖之,婉拒之.&&深圳到处修路,处处不便,浮躁,一刻都闲不闲来.拆黄木岗立交,到处拆楼建楼.&&刚才看了winston的doc(stay awesome china),北上广深:北京艺术氛围,反抗意识.上海商业氛围,直播. 深圳,电子行业,广州:没什么拿得出手的.直播业:整容,电子手段欺骗性呈现,night owl性格类型:无自律,无良好教育,晚睡,抽烟喝酒,拖延症,责任心低,seek novelty,咖啡因成瘾,不稳定.好处:有创造力,对新事物有见解,有偏才.这些不适合委以重任,不适合走得太近.对于night owl型,迟到/放鸽子/神出鬼没的人.权术御之:1.只分配零碎时间,己方作息时间内安排会面,不抽大块时间,保持忙碌形象 2.以不变应万变,保持不动,不把自己置于被动境地 3.杀锋芒,拒绝,拖之 4.保持信息不对称 5.增加对方investment,增加其情绪投入 6.不invest,不投入时间/精力/钱,不接送 7.compliance stacking(规定时间地点,让对方长距离跋涉)8.不露喜怒,深不可测 9.保持距离.千里钓之,用饵诱杀之 &&己有所欲,别人才有机可乘.17年,自己弱点多,才会被利用.骗子一定是有你想要的东西才会得手.人多,流动性大,每个人骗一次就够了.&&污染:底层政府为了GDP,放弃环境.环境是public good定会被滥用 &&那些经历过泡沫破裂的国家人会对投资观点更成熟,这个地方的人被洗脑式的灌输.&&13年在北京,开奔驰,都让路,19年,穿着好,无人挡路+服务态度好,跟开宾利,让路率高一样.别人觉得深不可测,不敢冒这个风险跟你对垒,觉得没胜算,下意识就绕道了.穿得邋邋遢遢就在香港被撞(2次),深圳被撞(1次).到哪都overdress,不透信息.李宗吾:空:讲话空,绷:对于社会,下级,保持绷,外表赫然人物,不苟言笑,人近非犯则篡,凶:无所不用其极,聋:不理批评,密:做事密不透风.&&开车慢真是好.想快反而慢,慢慢悠悠反而最快,而且省油,丝毫不紧张,明白了这个道理.众见其利者,非利也.众见其害者,或利也.",0,self,,,,,,
1/19/2019,6,"上午沃尔玛,买三文鱼和牛肉.中午三文鱼+葱蒜.下午四季.听钢琴可以闭眼睛冥想.慢可以战胜快,弱胜强.晚上洗车.雾霾严重.想去游泳泳池雾霾太重.刚去pool就出来了, 后来去洗澡然后听钢琴. 很享受.",150,self,sz,雾霾,67,,,
1/20/2019,7,"韩语T1毕业.上午买了鸡,炖的鸡汤, 鸡汤没啥味道,就是姜汤的味.晚上华强北面点王吃大排面,吃完就不头疼了, 给脑袋直接补充葡萄糖. ",130,self,sz,小雾霾,67,,,
1/21/2019,1,"今天早晨离开深圳,到顺德.明天早晨开车到徐闻. 加油200,高速公路费1000, 中午在香云轩吃饭120,住酒店750.车速慢,危险少.香云轩素质差,抽烟多,吃的不爽.吃的牛仔骨,排骨饭,生菜,紫菜卷难吃,一点都不便宜.早晨2个鸡蛋.明天到海口.顺德这边污染比深圳厉害,明早速走.酒店里都灰很大. 这个房型没什么人住,因为贵.(750),都赶上湛江喜来登的费用了.晚上早点休息.明天一早出发. 这灰大,一直有痰,在外面住就有这个问题. 灰尘没有incentive处理,就是宰一次客.空气质量这么差,还不如直接飞海口,空气里都是灰. (1.27补记:这天状态不好,主要前一天的social media activity和珠三角的脏,1.直接开出珠三角,到污染小的地方 2.social media控制时间,状态:先隐身,一个月后公布) (2.23评：这个住的太不值）(2.28 hypoglycemia: eat sugar)",2070,self,顺德,小雾霾,67,珠三角:没有灵魂,,
1/22/2019,2,"早晨5:21.昨天晚上难熬的一夜. 折射出很多生活习惯问题,积累至此. 1.social network滥用,造成成瘾.这个要杜绝.降低活跃度.时间控制,活跃度控制.在微信上时间太长 2.站立时间不够, 以后要能站不坐. 顺德:完全商业化, 丝毫没人情味, 房间灰大,要求换房间,重新加钱.不但以后不来这个酒店,整个顺德都不来. 珠三角环线污染厉害. 人无灵魂拜金达到极点. 居住质量很低. 晚上一直心跳不正常.（有可能是缺potassium） 3.这段时间运动不够. 4.最近经常头疼.跟使用电子产品过多有关.到海口要把电子产品的使用压缩到晚上. 4.走路要挺胸抬头,对情绪都正面影响. 5.闭眼倒着走, 金鸡独立都不错. 6.昨晚6点头脑完全不管用, 不能思维. 7.昨天中午饭也被宰了,4个要了120. 珠三角这种劣质的拜金文化赶紧逃离. 8.这次对顺德留下了深刻的印象. 对于污染,拜金,无灵魂,金钱至上都有了深刻的体会.在酒店也是完全被宰.9.珠三角是个垃圾地方,赶快走.10.从昨天checkin(中午)到6点事发生了怎样的变化? 餐厅烟味大, 没有折扣, 前台素质低, 回到房间,灰大,5点到6点睡了一觉,起来就觉得看不见东西. 这地方风水也不行. 加油200.中午在雷州吃的42街.3点到4:30在船上. 这时候帮助了老人,借人笔,让座,这些都是随时要做的积德行善的事情.",240,self,深圳到海口,"阳江没有雾霾,湛江雾霾.",67,积德行善,"中午:牛腩饭(服务区),晚上:家里喝粥",self深圳到海口
1/23/2019,3,"早晨看了日文视频,要跟上不要落后.尤其词汇语法要吃透.在海口,电子产品只晚上用,全部戒除.跟去年比,视力退步, 耳鸣, 没有去年4月份离开海南的时候身体好.5月在山东感冒了一次, 今年一月感冒一次, 21日顺德也是一次恶劣经历(无需多提,再不去即可).在海口多做饭,多在海南四处走走.1.cut social network addiction(电子产品成瘾),limit to night. 海口注意饮食.少在外面吃,自己做饭. 2.休息眼睛.&&下午转了一圈,海大, 日月,兴趣索然,跟去年已经产生了变化,现在变得有针对性. Ptf: make sure short world wide ptf. Put on: energy, FX, ETF, vol, the widely you are spread, the better you are to reap off the benefits of div. (2/28: learning japanese is secondary to other things.)",0,jack,海口,雾霾,67.5,,小鸡炖蘑菇,
1/24/2019,4,"内地雾霾持续.幸亏逃了出来.什么事都是有第一机会做的时候一定做,越往后越被动.昨天今天海南全岛雾霾.为了缓解眼睛的strain,手机cut:早晨,晚上after 9.其余时候只用于地图. Don't be used as a tool.今天:买牛肉,中午炒肉片.西兰花.吃薯.多站立.以听为主,注意用眼.Social media:fb,xiaonei(renren), msn, msn space,wechat. Didn't yield any benefits/knowledge/long term. Replace food with real food,activity with real activity. Cut out processed food, cut out virtual network. Negative activities: wechat, streaming. Positive activities: 四季听钢琴, hangout with friends. cooking. Listening to Ted talks. Regulate online activity: 1.目的性 2.时间控制. && Sam Vaknin论点: 社交网络是邪恶的,鼓励恶意行为(博取眼球),低能思维,黑白思维,自恋行为(自拍/自恋/gay翻倍),思维同质化.社交网络用途:定时间地点.应该做的事: 1.把每天社交网络时间固定,给自己和别人形成conditioning. 2.只用来邀约,不聊天 3.不看不发动态.&&学到的:1.做现实生活中的事情,远离电子产品.Prefer面对面,不做网上交谈.",50,jack,海口,,,Cut social media,"中午:牛肉(半斤),西兰花,红薯.",
1/25/2019,5,"1.phone is a slot machine, people feel compelled to pull it. 2.constant fragmented attention will result permanent loss in attention 3.we bulldoze each other's attention left and right. It takes 23 minutes to re-focus attention after attention is lost. 4.the more external interruptions we receive externally, then more we train our brains to internally interrupt 5.conscious interruption needs to be by phone, block out unconscious interruption. 蜂蜜(288), coconut oil(75),pepper(30). Lunch:自制鱼香肉丝.(醋和糖1:1就ok) Dinner:炒豆角.在家里做饭cost远低于外面,而且健康,可以做到一样好吃.",450,self,海口,no smog,,,鱼香肉丝,
